source,dest,amount,note
Amex Platinum,Intro Bonus,1250,
Amex Platinum,Hotel Credit,200,Credit for The Hotel Collection or Fine Hotels
Amex Platinum,Airline Incidentals,200,Airline Incidentals
Amex Platinum,Digital Entertainment Credit,240
Amex Platinum,Uber,200,Uber Credit
Amex Platinum,Lounge Access,240,"Hard to put a number on how much this is worth. $20 per airport visit is extremely conservative. I'm using this number because that's about how much I would spend on food at the airport if I didn't have lounge access. I go to about 12 lounges/year so $20 * 12 = $240."
Amex Platinum,Walmart+,155,
Amex Platinum,Saks 5th Ave,100,
Amex Gold,Intro Bonus,800,
Amex Gold,Dining Credit,120,I use this for grubhub
Amex Gold,Uber,120,
Amex Gold,Hotel Credit,100,The Hotel Collection Credit
Saphire Reserve,Intro Bonus,900,
Saphire Reserve,Travel,300,
Hotel Credit,Travel,300,
Airline Incidentals,Travel,200,
Uber,Food,320,
Dining Credit,Food,120,
Lounge Access,Food,240,
Saks 5th Ave,Shopping,100,
Walmart+,Shopping,155,
